Lap 1, Time: 0.01s, Best: 0.01s
Lap 2, Time: 0.01s, Best: 0.01s
Lap 3, Time: 0.01s, Best: 0.01s
Lap 4, Time: 0.01s, Best: 0.01s
Lap 5, Time: 0.01s, Best: 0.01s
Lap 6, Time: 0.01s, Best: 0.01s
Lap 7, Time: 0.01s, Best: 0.01s
Lap 8, Time: 0.01s, Best: 0.01s
Lap 9, Time: 0.01s, Best: 0.01s
Lap 10, Time: 0.01s, Best: 0.01s
Lap 11, Time: 0.01s, Best: 0.01s
Lap 12, Time: 0.01s, Best: 0.01s
Lap 13, Time: 0.01s, Best: 0.01s
Lap 14, Time: 0.01s, Best: 0.01s
Lap 15, Time: 0.01s, Best: 0.01s
Lap 16, Time: 0.01s, Best: 0.01s
Lap 17, Time: 0.01s, Best: 0.01s
Lap 18, Time: 0.01s, Best: 0.01s
Lap 19, Time: 0.01s, Best: 0.01s
Lap 20, Time: 0.01s, Best: 0.01s
Lap 21, Time: 0.01s, Best: 0.01s
Lap 22, Time: 0.01s, Best: 0.01s
Lap 23, Time: 0.01s, Best: 0.01s
Lap 24, Time: 0.01s, Best: 0.01s
Lap 25, Time: 0.01s, Best: 0.01s
Lap 26, Time: 0.01s, Best: 0.01s
Lap 27, Time: 0.01s, Best: 0.01s
Lap 28, Time: 0.01s, Best: 0.01s
Lap 29, Time: 0.01s, Best: 0.01s
Lap 30, Time: 0.01s, Best: 0.01s
Lap 31, Time: 0.01s, Best: 0.01s
Lap 32, Time: 0.01s, Best: 0.01s
Lap 33, Time: 0.01s, Best: 0.01s
Lap 34, Time: 0.01s, Best: 0.01s
Lap 35, Time: 0.01s, Best: 0.01s
Lap 36, Time: 0.01s, Best: 0.01s
Lap 37, Time: 0.01s, Best: 0.01s
Lap 38, Time: 0.01s, Best: 0.01s
Lap 39, Time: 0.01s, Best: 0.01s
Lap 40, Time: 0.01s, Best: 0.01s
Lap 41, Time: 0.01s, Best: 0.01s
Lap 42, Time: 0.01s, Best: 0.01s
Lap 43, Time: 0.01s, Best: 0.01s
Lap 44, Time: 0.01s, Best: 0.01s
Lap 45, Time: 0.01s, Best: 0.01s
Lap 46, Time: 0.01s, Best: 0.01s
Lap 47, Time: 0.01s, Best: 0.01s
Lap 48, Time: 0.01s, Best: 0.01s
Lap 49, Time: 0.01s, Best: 0.01s
Lap 50, Time: 0.01s, Best: 0.01s
Lap 51, Time: 0.01s, Best: 0.01s
Lap 52, Time: 0.01s, Best: 0.01s
Lap 53, Time: 0.01s, Best: 0.01s
Lap 54, Time: 0.01s, Best: 0.01s
Lap 55, Time: 0.01s, Best: 0.01s
Lap 56, Time: 0.01s, Best: 0.01s
Lap 57, Time: 0.01s, Best: 0.01s
Lap 58, Time: 0.01s, Best: 0.01s
Lap 59, Time: 0.01s, Best: 0.01s
Lap 60, Time: 0.01s, Best: 0.01s
Lap 61, Time: 0.01s, Best: 0.01s
Lap 62, Time: 0.01s, Best: 0.01s
Lap 63, Time: 0.01s, Best: 0.01s
Lap 64, Time: 0.01s, Best: 0.01s
Lap 65, Time: 0.01s, Best: 0.01s
Lap 66, Time: 627.84s, Best: 0.01s
Lap 67, Time: 201.58s, Best: 0.01s
Lap 68, Time: 0.01s, Best: 0.01s
Lap 69, Time: 0.01s, Best: 0.01s
Lap 70, Time: 0.01s, Best: 0.01s
Lap 71, Time: 0.01s, Best: 0.01s
Lap 72, Time: 0.01s, Best: 0.01s
Lap 73, Time: 0.01s, Best: 0.01s
Lap 74, Time: 0.01s, Best: 0.01s
Lap 75, Time: 0.01s, Best: 0.01s
Lap 76, Time: 0.01s, Best: 0.01s
Lap 77, Time: 0.01s, Best: 0.01s
Lap 78, Time: 0.01s, Best: 0.01s
Lap 79, Time: 0.01s, Best: 0.01s
Lap 80, Time: 0.01s, Best: 0.01s
Lap 81, Time: 0.01s, Best: 0.01s
Lap 82, Time: 0.01s, Best: 0.01s
Lap 83, Time: 0.01s, Best: 0.01s
Lap 84, Time: 0.01s, Best: 0.01s
Lap 85, Time: 0.01s, Best: 0.01s
Lap 86, Time: 0.01s, Best: 0.01s
Lap 87, Time: 0.01s, Best: 0.01s
Lap 88, Time: 0.01s, Best: 0.01s
Lap 89, Time: 0.01s, Best: 0.01s
Lap 90, Time: 0.01s, Best: 0.01s
Lap 91, Time: 0.01s, Best: 0.01s
Lap 92, Time: 0.01s, Best: 0.01s
Lap 93, Time: 0.01s, Best: 0.01s
Lap 94, Time: 0.01s, Best: 0.01s
Lap 95, Time: 0.01s, Best: 0.01s
Lap 96, Time: 0.01s, Best: 0.01s
Lap 97, Time: 0.01s, Best: 0.01s
Lap 98, Time: 0.01s, Best: 0.01s
Lap 99, Time: 0.01s, Best: 0.01s
Lap 100, Time: 0.01s, Best: 0.01s
Lap 101, Time: 551.32s, Best: 0.01s
Lap 102, Time: 412.74s, Best: 0.01s
Lap 103, Time: 566.08s, Best: 0.01s
Lap 104, Time: 163.89s, Best: 0.01s
Lap 105, Time: 161.52s, Best: 0.01s
Lap 106, Time: 180.26s, Best: 0.01s
Lap 107, Time: 195.58s, Best: 0.01s
Lap 1, Time: 0.01s, Best: 0.01s
Lap 2, Time: 0.01s, Best: 0.01s
Lap 3, Time: 0.01s, Best: 0.01s
Lap 4, Time: 0.01s, Best: 0.01s
Lap 5, Time: 0.01s, Best: 0.01s
Lap 6, Time: 0.01s, Best: 0.01s
Lap 7, Time: 0.01s, Best: 0.01s
Lap 8, Time: 0.01s, Best: 0.01s
Lap 9, Time: 0.01s, Best: 0.01s
Lap 10, Time: 0.01s, Best: 0.01s
Lap 11, Time: 0.01s, Best: 0.01s
Lap 12, Time: 0.01s, Best: 0.01s
Lap 13, Time: 0.01s, Best: 0.01s
Lap 14, Time: 0.01s, Best: 0.01s
Lap 15, Time: 0.01s, Best: 0.01s
Lap 16, Time: 0.01s, Best: 0.01s
Lap 17, Time: 0.01s, Best: 0.01s
Lap 18, Time: 0.01s, Best: 0.01s
Lap 19, Time: 0.01s, Best: 0.01s
Lap 20, Time: 0.01s, Best: 0.01s
Lap 21, Time: 0.01s, Best: 0.01s
Lap 22, Time: 0.01s, Best: 0.01s
Lap 23, Time: 0.01s, Best: 0.01s
Lap 24, Time: 0.01s, Best: 0.01s
Lap 25, Time: 0.01s, Best: 0.01s
Lap 26, Time: 0.01s, Best: 0.01s
Lap 27, Time: 0.01s, Best: 0.01s
Lap 28, Time: 0.01s, Best: 0.01s
Lap 29, Time: 0.01s, Best: 0.01s
Lap 30, Time: 0.01s, Best: 0.01s
Lap 31, Time: 0.01s, Best: 0.01s
Lap 32, Time: 0.01s, Best: 0.01s
Lap 33, Time: 0.01s, Best: 0.01s
Lap 34, Time: 0.01s, Best: 0.01s
Lap 35, Time: 0.01s, Best: 0.01s
Lap 36, Time: 0.01s, Best: 0.01s
Lap 37, Time: 0.01s, Best: 0.01s
Lap 38, Time: 0.01s, Best: 0.01s
Lap 39, Time: 0.01s, Best: 0.01s
Lap 40, Time: 0.01s, Best: 0.01s
Lap 41, Time: 0.01s, Best: 0.01s
Lap 42, Time: 0.01s, Best: 0.01s
Lap 43, Time: 0.01s, Best: 0.01s
Lap 44, Time: 0.01s, Best: 0.01s
Lap 45, Time: 0.01s, Best: 0.01s
Lap 46, Time: 0.01s, Best: 0.01s
Lap 47, Time: 0.01s, Best: 0.01s
Lap 48, Time: 0.01s, Best: 0.01s
Lap 49, Time: 0.01s, Best: 0.01s
Lap 50, Time: 0.01s, Best: 0.01s
Lap 51, Time: 0.01s, Best: 0.01s
Lap 52, Time: 0.01s, Best: 0.01s
Lap 53, Time: 0.01s, Best: 0.01s
Lap 54, Time: 0.01s, Best: 0.01s
Lap 55, Time: 0.01s, Best: 0.01s
Lap 56, Time: 0.01s, Best: 0.01s
Lap 57, Time: 0.01s, Best: 0.01s
Lap 58, Time: 0.01s, Best: 0.01s
Lap 59, Time: 0.01s, Best: 0.01s
Lap 60, Time: 0.01s, Best: 0.01s
Lap 61, Time: 0.01s, Best: 0.01s
Lap 62, Time: 0.01s, Best: 0.01s
Lap 63, Time: 0.01s, Best: 0.01s
Lap 64, Time: 0.01s, Best: 0.01s
Lap 65, Time: 0.01s, Best: 0.01s
Lap 66, Time: 0.01s, Best: 0.01s
Lap 67, Time: 0.01s, Best: 0.01s
Lap 68, Time: 0.01s, Best: 0.01s
Lap 69, Time: 0.01s, Best: 0.01s
Lap 70, Time: 0.01s, Best: 0.01s
Lap 71, Time: 0.01s, Best: 0.01s
Lap 72, Time: 0.01s, Best: 0.01s
Lap 73, Time: 0.01s, Best: 0.01s
Lap 74, Time: 0.01s, Best: 0.01s
Lap 75, Time: 0.01s, Best: 0.01s
Lap 76, Time: 505.53s, Best: 0.01s
Lap 77, Time: 184.27s, Best: 0.01s
Lap 78, Time: 165.41s, Best: 0.01s
Lap 79, Time: 194.94s, Best: 0.01s
Lap 80, Time: 176.27s, Best: 0.01s
Lap 81, Time: 155.93s, Best: 0.01s
Lap 82, Time: 157.39s, Best: 0.01s
Lap 83, Time: 149.34s, Best: 0.01s
Lap 84, Time: 166.66s, Best: 0.01s
Lap 85, Time: 138.90s, Best: 0.01s
Lap 86, Time: 321.49s, Best: 0.01s
Lap 87, Time: 150.36s, Best: 0.01s
Lap 88, Time: 146.61s, Best: 0.01s
Lap 89, Time: 132.12s, Best: 0.01s
Lap 90, Time: 128.14s, Best: 0.01s
Lap 91, Time: 638.72s, Best: 0.01s
Lap 92, Time: 139.80s, Best: 0.01s
Lap 93, Time: 114.49s, Best: 0.01s
Lap 94, Time: 115.08s, Best: 0.01s
Lap 95, Time: 145.59s, Best: 0.01s
Lap 96, Time: 150.48s, Best: 0.01s
Lap 97, Time: 114.08s, Best: 0.01s
Lap 98, Time: 120.97s, Best: 0.01s
Lap 99, Time: 137.23s, Best: 0.01s
Lap 100, Time: 144.75s, Best: 0.01s
Lap 101, Time: 119.53s, Best: 0.01s
Lap 102, Time: 135.96s, Best: 0.01s
Lap 103, Time: 200.98s, Best: 0.01s
Lap 104, Time: 213.64s, Best: 0.01s
Lap 105, Time: 129.32s, Best: 0.01s
Lap 106, Time: 131.88s, Best: 0.01s
Lap 107, Time: 149.01s, Best: 0.01s
Lap 108, Time: 175.86s, Best: 0.01s
Lap 109, Time: 129.71s, Best: 0.01s
Lap 110, Time: 121.99s, Best: 0.01s
Lap 111, Time: 160.42s, Best: 0.01s
Lap 112, Time: 180.63s, Best: 0.01s
Lap 113, Time: 135.70s, Best: 0.01s
Lap 114, Time: 130.75s, Best: 0.01s
Lap 115, Time: 149.31s, Best: 0.01s
Lap 116, Time: 148.91s, Best: 0.01s
Lap 117, Time: 178.01s, Best: 0.01s
Lap 118, Time: 112.63s, Best: 0.01s
Lap 119, Time: 151.74s, Best: 0.01s
Lap 120, Time: 151.25s, Best: 0.01s
Lap 121, Time: 117.81s, Best: 0.01s
Lap 122, Time: 129.23s, Best: 0.01s
Lap 123, Time: 208.93s, Best: 0.01s
Lap 124, Time: 184.74s, Best: 0.01s
Lap 125, Time: 118.05s, Best: 0.01s
Lap 126, Time: 125.43s, Best: 0.01s
Lap 127, Time: 172.08s, Best: 0.01s
Lap 128, Time: 163.02s, Best: 0.01s
Lap 129, Time: 117.78s, Best: 0.01s
Lap 130, Time: 110.45s, Best: 0.01s
Lap 131, Time: 145.24s, Best: 0.01s
Lap 132, Time: 146.71s, Best: 0.01s
Lap 133, Time: 114.49s, Best: 0.01s
Lap 134, Time: 112.93s, Best: 0.01s
Lap 135, Time: 149.17s, Best: 0.01s
Lap 136, Time: 166.70s, Best: 0.01s
Lap 137, Time: 233.97s, Best: 0.01s
Lap 138, Time: 108.90s, Best: 0.01s
Lap 139, Time: 146.63s, Best: 0.01s
Lap 140, Time: 161.11s, Best: 0.01s
Lap 141, Time: 114.11s, Best: 0.01s
Lap 142, Time: 119.05s, Best: 0.01s
Lap 143, Time: 136.91s, Best: 0.01s
Lap 144, Time: 164.10s, Best: 0.01s
Lap 145, Time: 117.48s, Best: 0.01s
Lap 146, Time: 106.43s, Best: 0.01s
Lap 147, Time: 147.83s, Best: 0.01s
Lap 148, Time: 153.74s, Best: 0.01s
Lap 149, Time: 122.21s, Best: 0.01s
Lap 150, Time: 121.86s, Best: 0.01s
Lap 151, Time: 158.62s, Best: 0.01s
Lap 152, Time: 135.98s, Best: 0.01s
Lap 153, Time: 123.99s, Best: 0.01s
Lap 154, Time: 116.61s, Best: 0.01s
Lap 155, Time: 144.38s, Best: 0.01s
Lap 156, Time: 137.36s, Best: 0.01s
Lap 157, Time: 122.65s, Best: 0.01s
Lap 158, Time: 118.85s, Best: 0.01s
Lap 159, Time: 156.75s, Best: 0.01s
Lap 160, Time: 140.35s, Best: 0.01s
Lap 161, Time: 118.06s, Best: 0.01s
Lap 162, Time: 115.84s, Best: 0.01s
Lap 163, Time: 171.49s, Best: 0.01s
Lap 164, Time: 176.32s, Best: 0.01s
Lap 165, Time: 106.35s, Best: 0.01s
Lap 166, Time: 94.85s, Best: 0.01s
Lap 167, Time: 267.30s, Best: 0.01s
Lap 168, Time: 150.39s, Best: 0.01s
Lap 169, Time: 113.53s, Best: 0.01s
Lap 170, Time: 110.61s, Best: 0.01s
Lap 171, Time: 142.02s, Best: 0.01s
Lap 172, Time: 146.35s, Best: 0.01s
Lap 173, Time: 107.15s, Best: 0.01s
Lap 174, Time: 113.68s, Best: 0.01s
Lap 175, Time: 146.42s, Best: 0.01s
Lap 176, Time: 147.57s, Best: 0.01s
Lap 177, Time: 129.17s, Best: 0.01s
Lap 178, Time: 106.92s, Best: 0.01s
Lap 179, Time: 131.59s, Best: 0.01s
Lap 180, Time: 154.40s, Best: 0.01s
Lap 181, Time: 117.61s, Best: 0.01s
Lap 182, Time: 117.94s, Best: 0.01s
Lap 183, Time: 154.36s, Best: 0.01s
Lap 184, Time: 155.87s, Best: 0.01s
Lap 185, Time: 119.49s, Best: 0.01s
Lap 186, Time: 122.00s, Best: 0.01s
Lap 187, Time: 132.58s, Best: 0.01s
Lap 188, Time: 162.01s, Best: 0.01s
Lap 189, Time: 113.03s, Best: 0.01s
Lap 190, Time: 112.08s, Best: 0.01s
Lap 191, Time: 145.18s, Best: 0.01s
Lap 192, Time: 164.97s, Best: 0.01s
Lap 193, Time: 111.06s, Best: 0.01s
Lap 194, Time: 110.00s, Best: 0.01s
Lap 195, Time: 185.90s, Best: 0.01s
Lap 196, Time: -17944.26s, Best: -17944.26s
